route_id,airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
12666,AZ,596,BZO,1536,FCO,1555,,0,S20
12667,AZ,596,CAE,3561,ATL,3682,Y,0,CRJ
12668,AZ,596,CAG,1519,FCO,1555,,0,321 320 319 32S
12669,AZ,596,CAG,1519,LIN,1529,,0,319 E75 320 32S E90
12670,AZ,596,CAI,1128,FCO,1555,,0,319 32S
12671,AZ,596,CAI,1128,MXP,1524,,0,32S 319
12672,AZ,596,CCS,2851,FCO,1555,,0,330
12673,AZ,596,CDG,1382,ABJ,253,Y,0,772
12674,AZ,596,CDG,1382,ABZ,532,Y,0,E70
12675,AZ,596,CDG,1382,ARN,737,Y,0,320 321 32A 319
12676,AZ,596,CDG,1382,ATL,3682,Y,0,77W 744 772
12677,AZ,596,CDG,1382,BES,1403,Y,0,318 321
12678,AZ,596,CDG,1382,BIO,1216,Y,0,E90 E70
12679,AZ,596,CDG,1382,BKK,3885,Y,0,77W
12680,AZ,596,CDG,1382,BLL,608,Y,0,E90
12681,AZ,596,CDG,1382,BLQ,1538,Y,0,E70 E90
12682,AZ,596,CDG,1382,BOD,1264,Y,0,321 320 32A 318
12683,AZ,596,CDG,1382,BOS,3448,Y,0,744
12684,AZ,596,CDG,1382,BRE,353,Y,0,E70
12685,AZ,596,CDG,1382,CFE,1330,Y,0,E70 E90
12686,AZ,596,CDG,1382,CPH,609,Y,0,319 318 320
12687,AZ,596,CDG,1382,CTA,1509,Y,0,320
12688,AZ,596,CDG,1382,DKR,1084,Y,0,77W
12689,AZ,596,CDG,1382,DTW,3645,Y,0,343
12690,AZ,596,CDG,1382,DUB,599,Y,0,AR8
12691,AZ,596,CDG,1382,DUS,345,Y,0,318 320
12692,AZ,596,CDG,1382,DXB,2188,Y,0,77W
12693,AZ,596,CDG,1382,EDI,535,Y,0,AR8
12694,AZ,596,CDG,1382,EVN,3964,,0,320
12695,AZ,596,CDG,1382,FCO,1555,,0,32S 321 319
12696,AZ,596,CDG,1382,FLR,1563,Y,0,318
12697,AZ,596,CDG,1382,GOA,1528,Y,0,E70 E90
12698,AZ,596,CDG,1382,GOT,687,Y,0,E70 E90
12699,AZ,596,CDG,1382,HAJ,352,Y,0,E70 AR8
12700,AZ,596,CDG,1382,HAM,342,Y,0,318 321 320 32A
12701,AZ,596,CDG,1382,HAN,3199,Y,0,777
12702,AZ,596,CDG,1382,HKG,3077,Y,0,77W
12703,AZ,596,CDG,1382,IAD,3714,Y,0,388 77W
12704,AZ,596,CDG,1382,IAH,3550,Y,0,77W
12705,AZ,596,CDG,1382,JFK,3797,Y,0,332 388 772 343
12706,AZ,596,CDG,1382,JNB,813,Y,0,388
12707,AZ,596,CDG,1382,LAX,3484,Y,0,388 772
12708,AZ,596,CDG,1382,LIM,2789,Y,0,77W
12709,AZ,596,CDG,1382,LIN,1529,,0,32S 320 319
